,index,file_path,label,type,dataset,rank,suit,rank_num,brightness
0,0,./data/train/ace of clubs/001.jpg,ace of clubs,ace,train,ace,clubs,1,195.89028619260205
1,0,./data/train/ace of clubs/002.jpg,ace of clubs,ace,train,ace,clubs,1,213.88659917091837
2,0,./data/train/ace of clubs/003.jpg,ace of clubs,ace,train,ace,clubs,1,205.30115991709184
3,0,./data/train/ace of clubs/004.jpg,ace of clubs,ace,train,ace,clubs,1,198.17185507015307
4,0,./data/train/ace of clubs/005.jpg,ace of clubs,ace,train,ace,clubs,1,167.43871572066325
5,0,./data/train/ace of clubs/006.jpg,ace of clubs,ace,train,ace,clubs,1,231.67051977040816
6,0,./data/train/ace of clubs/007.jpg,ace of clubs,ace,train,ace,clubs,1,196.63000239158163
7,0,./data/train/ace of clubs/008.jpg,ace of clubs,ace,train,ace,clubs,1,196.47068319515307
8,0,./data/train/ace of clubs/009.jpg,ace of clubs,ace,train,ace,clubs,1,221.9105149872449
9,0,./data/train/ace of clubs/010.jpg,ace of clubs,ace,train,ace,clubs,1,17.885522959183675
10,0,./data/train/ace of clubs/011.jpg,ace of clubs,ace,train,ace,clubs,1,228.1130221619898
11,0,./data/train/ace of clubs/012.jpg,ace of clubs,ace,train,ace,clubs,1,243.7210618622449
12,0,./data/train/ace of clubs/013.jpg,ace of clubs,ace,train,ace,clubs,1,240.24940210459184
13,0,./data/train/ace of clubs/014.jpg,ace of clubs,ace,train,ace,clubs,1,197.8933553890306
14,0,./data/train/ace of clubs/015.jpg,ace of clubs,ace,train,ace,clubs,1,197.5685586734694
15,0,./data/train/ace of clubs/016.jpg,ace of clubs,ace,train,ace,clubs,1,234.1739277742347
16,0,./data/train/ace of clubs/017.jpg,ace of clubs,ace,train,ace,clubs,1,214.05026307397958
17,0,./data/train/ace of clubs/018.jpg,ace of clubs,ace,train,ace,clubs,1,194.92127710459184
18,0,./data/train/ace of clubs/019.jpg,ace of clubs,ace,train,ace,clubs,1,244.17297114158163
19,0,./data/train/ace of clubs/020.jpg,ace of clubs,ace,train,ace,clubs,1,198.359375
20,0,./data/train/ace of clubs/021.jpg,ace of clubs,ace,train,ace,clubs,1,167.0949856505102
21,0,./data/train/ace of clubs/022.jpg,ace of clubs,ace,train,ace,clubs,1,208.26391103316325
22,0,./data/train/ace of clubs/023.jpg,ace of clubs,ace,train,ace,clubs,1,12.473413584183673
23,0,./data/train/ace of clubs/024.jpg,ace of clubs,ace,train,ace,clubs,1,241.6847297512755
24,0,./data/train/ace of clubs/025.jpg,ace of clubs,ace,train,ace,clubs,1,199.28964046556123
25,0,./data/train/ace of clubs/026.jpg,ace of clubs,ace,train,ace,clubs,1,198.28653140943877
26,0,./data/train/ace of clubs/027.jpg,ace of clubs,ace,train,ace,clubs,1,222.0196906887755
27,0,./data/train/ace of clubs/028.jpg,ace of clubs,ace,train,ace,clubs,1,230.1174465880102
28,0,./data/train/ace of clubs/029.jpg,ace of clubs,ace,train,ace,clubs,1,204.36154735331633
29,0,./data/train/ace of clubs/030.jpg,ace of clubs,ace,train,ace,clubs,1,198.21247209821428
30,0,./data/train/ace of clubs/031.jpg,ace of clubs,ace,train,ace,clubs,1,218.51805644132654
31,0,./data/train/ace of clubs/032.jpg,ace of clubs,ace,train,ace,clubs,1,229.42231345663265
32,0,./data/train/ace of clubs/033.jpg,ace of clubs,ace,train,ace,clubs,1,230.18237802933675
33,0,./data/train/ace of clubs/034.jpg,ace of clubs,ace,train,ace,clubs,1,234.22921316964286
34,0,./data/train/ace of clubs/035.jpg,ace of clubs,ace,train,ace,clubs,1,193.82742745535714
35,0,./data/train/ace of clubs/036.jpg,ace of clubs,ace,train,ace,clubs,1,218.40764508928572
36,0,./data/train/ace of clubs/037.jpg,ace of clubs,ace,train,ace,clubs,1,205.7186503507653
37,0,./data/train/ace of clubs/038.jpg,ace of clubs,ace,train,ace,clubs,1,252.95613440688774
38,0,./data/train/ace of clubs/039.jpg,ace of clubs,ace,train,ace,clubs,1,233.48034917091837
39,0,./data/train/ace of clubs/040.jpg,ace of clubs,ace,train,ace,clubs,1,146.07423867984693
40,0,./data/train/ace of clubs/041.jpg,ace of clubs,ace,train,ace,clubs,1,234.45842633928572
41,0,./data/train/ace of clubs/042.jpg,ace of clubs,ace,train,ace,clubs,1,204.8223652742347
42,0,./data/train/ace of clubs/043.jpg,ace of clubs,ace,train,ace,clubs,1,221.88960857780611
43,0,./data/train/ace of clubs/044.jpg,ace of clubs,ace,train,ace,clubs,1,230.4251036352041
44,0,./data/train/ace of clubs/045.jpg,ace of clubs,ace,train,ace,clubs,1,228.3624641262755
45,0,./data/train/ace of clubs/046.jpg,ace of clubs,ace,train,ace,clubs,1,210.03075175382654
46,0,./data/train/ace of clubs/047.jpg,ace of clubs,ace,train,ace,clubs,1,178.0101243622449
47,0,./data/train/ace of clubs/048.jpg,ace of clubs,ace,train,ace,clubs,1,245.5731425382653
48,0,./data/train/ace of clubs/049.jpg,ace of clubs,ace,train,ace,clubs,1,226.80002391581633
49,0,./data/train/ace of clubs/050.jpg,ace of clubs,ace,train,ace,clubs,1,209.92307079081633
50,0,./data/train/ace of clubs/051.jpg,ace of clubs,ace,train,ace,clubs,1,234.65870137117346
